node_id	layer_id	op_id	name	op_type	inputs	outputs
N209	L209	sigmoid_051	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Sigmoid	Sigmoid	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]
N210	L210	mul_052	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul	Mul	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv_output_0:FLOAT:[1, 64, 80, 80] | /model.23/one2one_cv2.0/one2one_cv2.0.0/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0:FLOAT:[1, 64, 80, 80]
N211	L211	conv_059	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	Conv	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0:FLOAT:[1, 64, 80, 80] | model.23.one2one_cv2.0.1.conv.weight:FLOAT:[64, 64, 3, 3] | model.23.one2one_cv2.0.1.conv.bias:FLOAT:[64]	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]
N212	L212	sigmoid_052	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Sigmoid	Sigmoid	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]
N213	L213	mul_053	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul	Mul	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv_output_0:FLOAT:[1, 64, 80, 80] | /model.23/one2one_cv2.0/one2one_cv2.0.1/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0:FLOAT:[1, 64, 80, 80]
N214	L214	conv_060	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	Conv	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0:FLOAT:[1, 64, 80, 80] | model.23.one2one_cv2.0.2.weight:FLOAT:[64, 64, 1, 1] | model.23.one2one_cv2.0.2.bias:FLOAT:[64]	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0:FLOAT:[1, 64, 80, 80]
N215	L215	conv_061	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	Conv	/model.16/cv2/act/Mul_output_0:FLOAT:[1, 64, 80, 80] | model.23.one2one_cv3.0.0.0.conv.weight:FLOAT:[64, 1, 3, 3] | model.23.one2one_cv3.0.0.0.conv.bias:FLOAT:[64]	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]
N216	L216	sigmoid_053	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Sigmoid	Sigmoid	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]
N217	L217	mul_054	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul	Mul	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv_output_0:FLOAT:[1, 64, 80, 80] | /model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0:FLOAT:[1, 64, 80, 80]
N218	L218	conv_062	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	Conv	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0:FLOAT:[1, 64, 80, 80] | model.23.one2one_cv3.0.0.1.conv.weight:FLOAT:[80, 64, 1, 1] | model.23.one2one_cv3.0.0.1.conv.bias:FLOAT:[80]	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv_output_0:FLOAT:[1, 80, 80, 80]
